,C 1 Comdty,CL1 Comdty,GC1 Comdty,HG1 Comdty,NG1 Comdty,S 1 Comdty,SI1 Comdty
2023-08-04,0.0,24230.0512150866,0.0,-0.0,0.0,0.0,0.0
2023-08-07,-0.0,0.0,-0.0,7422.0598773369,141208.2175845312,-28066.595135271753,-0.0
2023-08-08,0.0,0.0,-0.0,29933.73324661365,50339.07596944125,4994.154613246051,-0.0
2023-08-09,-0.0,0.0,-0.0,-7435.274340107249,176340.08549173502,3124.0628623368,-0.0
2023-08-10,0.0,-0.0,0.0,8089.56919891845,-189863.42909914485,12181.1968397826,0.0
2023-08-11,-0.0,0.0,0.0,16684.71813317205,6779.189088170549,-13427.2868924871,-0.0
2023-08-14,2605.4277385266,7384.96701887625,-0.0,433.496806112073,15015.47803887735,17700.080305096348,-0.0
2023-08-15,18246.1572679644,19362.369147408448,-0.0,22985.6141948742,-65903.83980554475,-17291.343754206002,-0.0
2023-08-16,-8946.1464537258,20530.05968260395,-0.0,4341.398695228349,-32500.94893547535,15223.79546561655,-0.0
2023-08-17,-6335.31631488165,-12875.981084327701,-0.0,-14757.1743658185,14064.1618912452,5420.8582204653,0.0
2023-08-18,-10811.7214185924,-10968.187706725499,0.0,-4776.3313067142,-33961.85205567255,19397.91786323355,0.0
2023-08-21,-82820.53895826644,-11358.334609690499,0.0,-5214.0024813447,4369.42273570425,8140.0112193203995,0.0
2023-08-22,-11937.1818194748,-4721.64279662475,0.0,0.0,-0.0,19722.3634353222,0.0
2023-08-23,43794.240056463605,-9661.644487265401,0.0,0.0,-0.0,-18167.29034388795,0.0
2023-08-24,-8959.055096598298,2061.4136721979503,0.0,-0.0,0.0,-14097.108978229951,-0.0
2023-08-25,-995.56480206585,10050.544898655751,-0.0,-0.0,0.0,-20051.5224637179,0.0
2023-08-28,21535.95092438295,3802.3791880720496,0.0,-1304.8643582581499,27215.96315183235,-19431.103791197704,0.0
2023-08-29,23654.612081377803,6832.089665411399,0.0,20444.95935848205,11179.12460438295,11074.768894121398,0.0
2023-08-30,14941.27814246685,3029.6316228646497,0.0,2175.2174224377,-62543.44981671705,4806.5217706597505,-0.0
2023-08-31,6220.93139609535,12882.5212099977,-0.0,-9563.8829612112,13059.1216913895,15035.382372918599,-0.0
2023-09-01,-8089.78905296055,12371.1630853221,0.0,13045.816321038,1399.6376781718502,-417.78265884199965,-0.0
2023-09-04,8701.085324975851,24711.09979874535,0.0,-16503.84546167475,0.0,208.62769542408907,0.0
2023-09-05,0.0,22027.7066737689,-0.0,1521.42982086105,-0.0,-0.0,-0.0
2023-09-06,-0.0,16426.8902003301,-0.0,27172.89387394155,-0.0,0.0,-0.0
2023-09-07,0.0,-12942.64117559205,0.0,10429.867629119699,0.0,-0.0,-0.0
2023-09-08,-0.0,12364.22389156695,0.0,19775.0563660935,0.0,0.0,-0.0
2023-09-11,8201.576694414149,-3538.3563366520502,0.0,-39294.1734948171,1397.47870721115,0.0,0.0
2023-09-12,-27568.8058054707,19930.2220078947,-0.0,6508.5223885344,-94267.18473618105,-0.0,0.0
2023-09-13,17135.176251897,-4114.1007825525,-0.0,-433.8460560682075,43985.7324152928,0.0,-0.0
2023-09-14,-5216.7195803052,21091.5019969452,0.0,-12368.562448629149,-19555.459364120852,0.0,-0.0
2023-09-15,-12666.910447342349,7843.60693658205,0.0,8895.09424249035,44690.19928690185,-0.0,0.0
2023-09-18,-2977.09860087765,5522.88361061655,0.0,9535.222290244501,-58589.93981471805,29043.7545444912,0.0
2023-09-19,0.0,-0.0,0.0,13873.4943668217,-83724.53699561625,1561.9515420784498,-0.0
2023-09-20,0.0,-0.0,0.0,-12577.35571380585,80264.741424489,-5625.03875654925,0.0
2023-09-21,-0.0,0.0,-0.0,34685.06639307705,85820.94240515369,32802.2406368163,0.0
2023-09-22,0.0,0.0,0.0,0.0,-18838.261700939252,-3123.9430287021,0.0
2023-09-25,0.0,-0.0,-0.0,11266.3046420469,-13946.7739778325,-2914.114333959,-0.0
2023-09-26,-0.0,0.0,-0.0,9105.644844746099,0.0,-8331.4734122844,-0.0
